120915	Star Wars: Episode I - The Phantom Menace	1999	136	6.5	634726	1	2	10
211915	Amélie	2001	122	8.3	634430	5	17	
947798	Black Swan	2010	108	8.0	631029	8	20	
770828	Man of Steel	2013	143	7.1	629027	1	2	10
458339	Captain America: The First Avenger	2011	124	6.9	625942	1	2	18
1843866	Captain America: The Winter Soldier	2014	136	7.8	625914	1	2	18
317248	City of God	2002	130	8.6	625795	6	8	
1228705	Iron Man 2	2010	124	7.0	623465	1	18	
145487	Spider-Man	2002	121	7.3	622652	1	2	18
121766	Star Wars: Episode III - Revenge of the Sith	2005	140	7.6	620647	1	2	10
480249	I Am Legend	2007	101	7.2	617443	8	13	18
253474	The Pianist	2002	150	8.5	616584	4	8	14
2395427	Avengers: Age of Ultron	2015	141	7.4	616496	1	2	18
75314	Taxi Driver	1976	114	8.3	615626	6	8	
97576	Indiana Jones and the Last Crusade	1989	127	8.3	613720	1	2	10
2278388	The Grand Budapest Hotel	2014	99	8.1	611196	2	5	8
83658	Blade Runner	1982	117	8.2	608485	18	20	
1045658	Silver Linings Playbook	2012	122	7.7	606860	5	8	17
1877832	X-Men: Days of Future Past	2014	132	8.0	601425	1	2	18
60196	The Good, the Bad and the Ugly	1966	161	8.9	601085	Western		
383574	Pirates of the Caribbean: Dead Man's Chest	2006	151	7.3	599150	1	2	10
2084970	The Imitation Game	2014	114	8.0	595627	4	8	20
378194	Kill Bill: Vol. 2	2004	137	8.0	594436	1	6	20
1270798	X-Men: First Class	2011	131	7.7	592723	1	2	18
1136608	District 9	2009	112	7.9	592683	18	20	
93058	Full Metal Jacket	1987	116	8.3	589255	8	21	
1663202	The Revenant	2015	156	8.0	587669	1	2	4
892769	How to Train Your Dragon	2010	98	8.1	586864	1	2	3
2582802	Whiplash	2014	106	8.5	584382	8	14	
90605	Aliens	1986	137	8.4	583787	1	2	18
1074638	Skyfall	2012	143	7.8	581039	1	2	20
1504320	The King's Speech	2010	118	8.0	578448	4	8	12
317705	The Incredibles	2004	115	8.0	576891	1	2	3
117951	Trainspotting	1996	93	8.2	574351	8		
440963	The Bourne Ultimatum	2007	115	8.0	572432	1	16	20
405159	Million Dollar Baby	2004	132	8.1	571758	8	19	
50083	12 Angry Men	1957	96	8.9	569351	6	8	
1951264	The Hunger Games: Catching Fire	2013	146	7.5	562809	1	2	18
418279	Transformers	2007	144	7.1	559714	1	2	18
2024544	12 Years a Slave	2013	134	8.1	557990	4	8	12
382932	Ratatouille	2007	111	8.0	557007	2	3	5
121765	Star Wars: Episode II - Attack of the Clones	2002	142	6.6	556537	1	2	10
457430	Pan's Labyrinth	2006	118	8.2	556315	8	10	21
1285016	The Social Network	2010	120	7.7	555882	4	8	
2975590	Batman v Superman: Dawn of Justice	2016	151	6.5	554252	1	2	10
1170358	The Hobbit: The Desolation of Smaug	2013	161	7.8	553306	2	10	
796366	Star Trek	2009	127	8.0	549946	1	2	18
241527	Harry Potter and the Sorcerer's Stone	2001	152	7.6	548607	2	9	10
116282	Fargo	1996	98	8.1	545525	6	8	20
449088	Pirates of the Caribbean: At World's End	2007	169	7.1	543604	1	2	10
126029	Shrek	2001	90	7.9	542471	2	3	5
816711	World War Z	2013	116	7.0	538613	1	2	13
4154756	Avengers: Infinity War	2018	149	8.5	538571	1	2	10
1670345	Now You See Me	2013	115	7.3	538078	6	16	20
988045	Sherlock Holmes	2009	128	7.6	537449	1	2	6
3498820	Captain America: Civil War	2016	147	7.8	535753	1	2	18
245429	Spirited Away	2001	125	8.6	534041	2	3	9
78788	Apocalypse Now	1979	147	8.5	531211	8	21	
114746	Twelve Monkeys	1995	129	8.0	530822	16	18	20
118799	Life Is Beautiful	1997	116	8.6	530679	5	8	17
936501	Taken	2008	93	7.8	529853	1	6	20
1631867	Edge of Tomorrow	2014	113	7.9	528783	1	18	
1446714	Prometheus	2012	124	7.0	528502	2	16	18
381061	Casino Royale	2006	144	8.0	527910	1	2	20
1637725	Ted	2012	106	6.9	527333	5	10	17
2802144	Kingsman: The Secret Service	2014	129	7.7	526525	1	2	5
107048	Groundhog Day	1993	101	8.0	526303	5	10	17
421715	The Curious Case of Benjamin Button	2008	166	7.8	525763	8	10	17
62622	2001: A Space Odyssey	1968	149	8.3	523681	2	18	
3315342	Logan	2017	137	8.1	523398	1	8	18
1024648	Argo	2012	120	7.7	522889	4	8	20
369610	Jurassic World	2015	124	7.0	521441	1	2	18
120903	X-Men	2000	104	7.4	521306	1	2	18
454876	Life of Pi	2012	127	7.9	517714	2	8	10
54215	Psycho	1960	109	8.5	517709	13	16	20
948470	The Amazing Spider-Man	2012	136	7.0	512171	1	2	18
758758	Into the Wild	2007	148	8.1	511703	2	4	8
2096673	Inside Out	2015	95	8.2	510186	2	3	5
1981115	Thor: The Dark World	2013	112	7.0	510082	1	2	10
113277	Heat	1995	170	8.2	509970	6	8	20
780504	Drive	2011	100	7.8	507460	6	8	
1392214	Prisoners	2013	153	8.1	506141	6	8	16
1386697	Suicide Squad	2016	123	6.1	505803	1	2	10
2294629	Frozen	2013	102	7.5	499716	2	3	5
2562232	Birdman or (The Unexpected Virtue of Ignorance)	2014	119	7.7	498806	5	8	
73195	Jaws	1975	124	8.0	495792	2	8	20
1276104	Looper	2012	113	7.4	488952	1	6	8
1250777	Kick-Ass	2010	117	7.6	487479	1	5	
316654	Spider-Man 2	2004	127	7.3	484382	1	2	18
116629	Independence Day	1996	145	7.0	484381	1	2	18
2543164	Arrival	2016	116	7.9	483441	8	16	18
120735	Lock, Stock and Two Smoking Barrels	1998	107	8.2	481653	5	6	
119488	L.A. Confidential	1997	138	8.3	481395	6	8	16
1219289	Limitless	2011	105	7.4	479809	16	18	20
295297	Harry Potter and the Chamber of Secrets	2002	161	7.4	473653	2	9	10
829482	Superbad	2007	113	7.6	472397	5		
330373	Harry Potter and the Goblet of Fire	2005	157	7.7	469636	2	9	10
304141	Harry Potter and the Prisoner of Azkaban	2004	142	7.9	469587	2	9	10
290334	X-Men 2	2003	134	7.5	467958	1	2	18
234215	The Matrix Reloaded	2003	138	7.2	467957	1	18	
1232829	21 Jump Street	2012	109	7.2	466649	1	5	6
258463	The Bourne Identity	2002	119	7.9	465380	1	16	20
1211837	Doctor Strange	2016	115	7.5	464058	1	2	10
1318514	Rise of the Planet of the Apes	2011	105	7.6	464011	1	8	18
240772	Ocean's Eleven	2001	116	7.8	463472	6	20	
119654	Men in Black	1997	98	7.3	462445	2	5	16
34583	Casablanca	1942	102	8.5	461879	8	17	21
478970	Ant-Man	2015	117	7.3	461304	1	2	5
332280	The Notebook	2004	123	7.9	459813	8	17	
162222	Cast Away	2000	143	7.8	459605	2	8	17
181689	Minority Report	2002	145	7.7	458379	1	6	16
467406	Juno	2007	96	7.5	457772	5	8	
75148	Rocky	1976	120	8.1	457639	8	19	
365748	Shaun of the Dead	2004	99	7.9	456892	5	13	
450259	Blood Diamond	2006	143	8.0	453103	2	8	20
3748528	Rogue One: A Star Wars Story	2016	133	7.8	452604	1	2	18
120363	Toy Story 2	1999	92	7.9	452557	2	3	5
451279	Wonder Woman	2017	141	7.5	451750	1	2	10
343818	I, Robot	2004	115	7.1	451260	1	6	8
1323594	Despicable Me	2010	95	7.7	450436	3	5	9
469494	There Will Be Blood	2007	158	8.1	450210	8		
71853	Monty Python and the Holy Grail	1975	91	8.3	447707	2	5	10
1798709	Her	2013	126	8.0	447673	8	17	18
413300	Spider-Man 3	2007	139	6.2	446699	1	2	18
1156398	Zombieland	2009	88	7.7	445116	2	5	13
1483013	Oblivion	2013	124	7.0	442367	1	2	16
409459	Watchmen	2009	162	7.6	442345	1	8	16
364569	Oldboy	2003	120	8.4	442219	1	8	16
945513	Source Code	2011	93	7.5	441219	18	20	
332452	Troy	2004	163	7.2	439878	8	12	17
376994	X-Men: The Last Stand	2006	104	6.7	439789	1	2	18
1408101	Star Trek: Into Darkness	2013	132	7.7	439586	1	2	18
1298650	Pirates of the Caribbean: On Stranger Tides	2011	136	6.6	435765	1	2	10
1663662	Pacific Rim	2013	131	6.9	435247	1	2	18
373889	Harry Potter and the Order of the Phoenix	2007	138	7.5	435212	2	9	10
5013056	Dunkirk	2017	106	7.9	433233	1	8	12
95953	Rain Man	1988	133	8.0	431880	8		
1022603	500 Days of Summer	2009	95	7.7	431140	5	8	17
2527336	Star Wars: The Last Jedi	2017	152	7.2	431133	1	2	10
3896198	Guardians of the Galaxy Vol. 2	2017	136	7.7	427995	1	2	5
1570728	Crazy, Stupid, Love.	2011	118	7.4	427872	5	8	17
2310332	The Hobbit: The Battle of the Five Armies	2014	144	7.4	425998	2	10	
1825683	Black Panther	2018	134	7.4	424332	1	2	18
458525	X-Men Origins: Wolverine	2009	107	6.6	423850	1	2	18
1411697	The Hangover Part II	2011	102	6.5	422823	5	16	
1343092	The Great Gatsby	2013	143	7.3	421086	8	17	
144084	American Psycho	2000	101	7.6	418178	6	8	
1229238	Mission: Impossible - Ghost Protocol	2011	132	7.4	417263	1	2	20
206634	Children of Men	2006	109	7.9	417184	8	18	20
425112	Hot Fuzz	2007	121	7.9	413542	1	5	
1659337	The Perks of Being a Wallflower	2012	103	8.0	412938	8	17	
3460252	The Hateful Eight	2015	187	7.8	411960	6	8	16
289879	The Butterfly Effect	2004	113	7.7	410580	8	18	20
3501632	Thor: Ragnarok	2017	130	7.9	410260	1	2	5
96874	Back to the Future Part II	1989	108	7.8	409604	2	5	18
1800241	American Hustle	2013	138	7.3	408535	6	8	
2911666	John Wick	2014	101	7.3	407908	1	6	20
926084	Harry Potter and the Deathly Hallows: Part 1	2010	146	7.7	407584	2	9	10
3783958	La La Land	2016	128	8.0	407201	5	8	14
242653	The Matrix Revolutions	2003	129	6.7	406135	1	18	
99487	Edward Scissorhands	1990	105	7.9	405780	8	10	17
470752	Ex Machina	2014	108	7.7	405062	8	16	18
356910	Mr. & Mrs. Smith	2005	120	6.5	404672	1	5	6
57012	Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb	1964	95	8.4	404066	5		
112641	Casino	1995	178	8.2	401956	6	8	
449059	Little Miss Sunshine	2006	101	7.8	400743	5	8	
417741	Harry Potter and the Half-Blood Prince	2009	153	7.6	400333	2	9	10
448157	Hancock	2008	92	6.4	399955	1	8	10
372183	The Bourne Supremacy	2004	108	7.8	399190	1	16	20
375679	Crash	2004	112	7.8	394966	6	8	20
454921	The Pursuit of Happyness	2006	117	8.0	394664	4	8	
1291584	Warrior	2011	140	8.2	394513	8	19	
119116	The Fifth Element	1997	126	7.7	392321	1	2	18
1499658	Horrible Bosses	2011	98	6.9	391590	5	6	
790636	Dallas Buyers Club	2013	117	8.0	390890	4	8	
1840309	Divergent	2014	139	6.7	390800	1	2	16
87469	Indiana Jones and the Temple of Doom	1984	118	7.6	390764	1	2	
2872732	Lucy	2014	89	6.4	390678	1	18	20
2179136	American Sniper	2014	133	7.3	389530	1	4	8
1430132	The Wolverine	2013	126	6.7	388921	1	2	18
99785	Home Alone	1990	103	7.5	387802	5	9	
2872718	Nightcrawler	2014	117	7.9	387293	6	8	20
1535108	Elysium	2013	109	6.6	386492	1	8	18
268380	Ice Age	2002	81	7.5	386297	2	3	5
47396	Rear Window	1954	112	8.5	385293	16	20	
1515091	Sherlock Holmes: A Game of Shadows	2011	129	7.5	385107	1	2	6
1099212	Twilight	2008	122	5.2	384561	8	10	17
319061	Big Fish	2003	125	8.0	383612	2	8	10
887912	The Hurt Locker	2008	131	7.6	383006	8	20	21
800080	The Incredible Hulk	2008	112	6.8	382898	1	2	18
1454029	The Help	2011	146	8.1	381805	8		
1979320	Rush	2013	123	8.1	381785	1	4	8
2103281	Dawn of the Planet of the Apes	2014	130	7.6	381214	1	2	8
367882	Indiana Jones and the Kingdom of the Crystal Skull	2008	122	6.2	381169	1	2	10
327056	Mystic River	2003	138	8.0	380447	6	8	16
1457767	The Conjuring	2013	112	7.5	379928	13	16	20
1568346	The Girl with the Dragon Tattoo	2011	158	7.8	378898	6	8	16
407304	War of the Worlds	2005	116	6.5	378448	2	18	20
101414	Beauty and the Beast	1991	84	8.0	378248	3	9	10
1535109	Captain Phillips	2013	134	7.8	377794	4	8	20
367594	Charlie and the Chocolate Factory	2005	115	6.7	377402	2	5	9
1872181	The Amazing Spider-Man 2	2014	142	6.6	376744	1	2	18
1790864	The Maze Runner	2014	113	6.8	376320	1	16	18
443706	Zodiac	2007	157	7.7	376151	6	8	16
319262	The Day After Tomorrow	2004	124	6.4	375848	1	2	18
2250912	Spider-Man: Homecoming	2017	133	7.5	374910	1	2	18
314331	Love Actually	2003	135	7.6	371425	5	8	17
830515	Quantum of Solace	2008	106	6.6	369959	1	2	20
2713180	Fury	2014	134	7.6	369759	1	8	21
298148	Shrek 2	2004	93	7.2	367422	2	3	5
1951265	The Hunger Games: Mockingjay - Part 1	2014	123	6.7	367188	1	2	18
441773	Kung Fu Panda	2008	92	7.6	366727	1	2	3
335266	Lost in Translation	2003	102	7.8	365796	8		
337978	Live Free or Die Hard	2007	128	7.1	365373	1	2	20
382625	The Da Vinci Code	2006	149	6.6	363346	16	20	
1723121	We're the Millers	2013	110	7.0	362679	5	6	
2948356	Zootopia	2016	108	8.0	362650	2	3	5
217505	Gangs of New York	2002	167	7.5	362541	6	8	
120591	Armageddon	1998	151	6.7	361701	1	2	18
325710	The Last Samurai	2003	154	7.7	361531	1	8	12
1399103	Transformers: Dark of the Moon	2011	154	6.3	359215	1	2	18
765429	American Gangster	2007	157	7.8	358944	4	6	8
360717	King Kong	2005	187	7.2	358411	1	2	8
120616	The Mummy	1999	124	7.0	358299	1	2	10
1055369	Transformers: Revenge of the Fallen	2009	150	6.0	357612	1	2	18
362227	The Terminal	2004	128	7.3	355271	5	8	17
33467	Citizen Kane	1941	119	8.4	353717	8	16	
780536	In Bruges	2008	107	7.9	353503	5	6	8
405422	The 40-Year-Old Virgin	2005	116	7.1	353444	5	17	
2245084	Big Hero 6	2014	102	7.8	352765	1	2	3
1245492	This Is the End	2013	107	6.6	352755	5	10	
398286	Tangled	2010	100	7.8	352477	2	3	5
97165	Dead Poets Society	1989	128	8.1	352459	5	8	
1014759	Alice in Wonderland	2010	108	6.5	349854	2	9	10
117060	Mission: Impossible	1996	110	7.1	349784	1	2	20
5052448	Get Out	2017	104	7.7	349101	13	16	20
1856101	Blade Runner 2049	2017	164	8.0	348876	8	16	18
139654	Training Day	2001	122	7.7	348222	6	8	20
1605783	Midnight in Paris	2011	94	7.7	347999	5	10	17
93779	The Princess Bride	1987	98	8.1	347990	2	9	10
163651	American Pie	1999	95	7.0	345808	5		
1895587	Spotlight	2015	129	8.1	345342	6	8	12
2980516	The Theory of Everything	2014	123	7.7	344947	4	8	17
942385	Tropic Thunder	2008	107	7.0	344933	1	2	5
99088	Back to the Future Part III	1990	118	7.4	344802	2	5	18
2119532	Hacksaw Ridge	2016	139	8.1	344476	4	8	12
387564	Saw	2004	103	7.6	344405	13	16	
