53125	North by Northwest	1959	136	8.3	263508	Adventure,Mystery,Thriller
53198	The 400 Blows	1959	99	8.1	89274	Crime,Drama
53221	Rio Bravo	1959	141	8.0	49589	Action,Drama,Western
53285	Sleeping Beauty	1959	75	7.3	118440	Animation,Family,Fantasy
53291	Some Like It Hot	1959	121	8.2	213073	Comedy,Romance
53472	Breathless	1960	90	7.9	62543	Crime,Drama
53604	The Apartment	1960	125	8.3	138052	Comedy,Drama,Romance
53779	La Dolce Vita	1960	174	8.1	57388	Comedy,Drama
54047	The Magnificent Seven	1960	128	7.8	78971	Action,Adventure,Western
54215	Psycho	1960	109	8.5	517709	Horror,Mystery,Thriller
54331	Spartacus	1960	197	7.9	110767	Adventure,Biography,Drama
54698	Breakfast at Tiffany's	1961	115	7.7	147468	Comedy,Drama,Romance
54997	The Hustler	1961	134	8.0	69370	Drama,Sport
55031	Judgment at Nuremberg	1961	186	8.2	59526	Drama,War
55254	101 Dalmatians	1961	79	7.2	132954	Adventure,Animation,Comedy
55614	West Side Story	1961	153	7.6	84914	Crime,Drama,Musical
55630	Yojimbo	1961	110	8.3	93586	Action,Drama,Thriller
55928	Dr. No	1962	110	7.3	131103	Action,Adventure,Thriller
56172	Lawrence of Arabia	1962	216	8.3	234404	Adventure,Biography,Drama
56193	Lolita	1962	153	7.6	80369	Crime,Drama,Romance
56217	The Man Who Shot Liberty Valance	1962	123	8.1	61118	Drama,Western
56218	The Manchurian Candidate	1962	126	8.0	66714	Drama,Thriller
56592	To Kill a Mockingbird	1962	129	8.3	263900	Crime,Drama
56801	8½	1963	138	8.1	97047	Drama
56869	The Birds	1963	119	7.7	150841	Drama,Horror,Mystery
56923	Charade	1963	113	8.0	58264	Comedy,Mystery,Romance
57012	Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb	1964	95	8.4	404066	Comedy
57076	From Russia with Love	1963	115	7.5	102942	Action,Adventure,Thriller
57115	The Great Escape	1963	172	8.2	199750	Adventure,Drama,History
57546	The Sword in the Stone	1963	79	7.2	77305	Adventure,Animation,Comedy
58150	Goldfinger	1964	110	7.7	155214	Action,Adventure,Thriller
58331	Mary Poppins	1964	139	7.8	129879	Comedy,Family,Fantasy
58385	My Fair Lady	1964	170	7.9	77639	Drama,Family,Musical
58461	A Fistful of Dollars	1964	99	8.0	173149	Western
59113	Doctor Zhivago	1965	197	8.0	62817	Drama,Romance,War
59578	For a Few Dollars More	1965	132	8.3	197798	Western
59742	The Sound of Music	1965	172	8.0	174803	Biography,Drama,Family
59800	Thunderball	1965	130	7.0	92996	Action,Adventure,Thriller
60176	Blow-Up	1966	111	7.6	49308	Drama,Mystery,Thriller
60196	The Good, the Bad and the Ugly	1966	161	8.9	601085	Western
60827	Persona	1966	85	8.1	83344	Drama,Thriller
61184	Who's Afraid of Virginia Woolf?	1966	131	8.0	62736	Drama
61418	Bonnie and Clyde	1967	111	7.9	91450	Action,Biography,Crime
61512	Cool Hand Luke	1967	126	8.1	143954	Crime,Drama
61578	The Dirty Dozen	1967	150	7.8	59968	Action,Adventure,War
61722	The Graduate	1967	106	8.0	233227	Comedy,Drama,Romance
61811	In the Heat of the Night	1967	110	8.0	58335	Crime,Drama,Mystery
61852	The Jungle Book	1967	78	7.6	145944	Adventure,Animation,Family
62512	You Only Live Twice	1967	117	6.9	85889	Action,Adventure,Thriller
62622	2001: A Space Odyssey	1968	149	8.3	523681	Adventure,Sci-Fi
62765	Bullitt	1968	114	7.5	53731	Action,Crime,Mystery
63350	Night of the Living Dead	1968	96	7.9	102586	Horror
63442	Planet of the Apes	1968	112	8.0	153480	Adventure,Sci-Fi
63522	Rosemary's Baby	1968	137	8.0	164932	Drama,Horror
64115	Butch Cassidy and the Sundance Kid	1969	110	8.1	182369	Biography,Crime,Drama
64116	Once Upon a Time in the West	1968	165	8.5	262673	Western
64276	Easy Rider	1969	95	7.4	86105	Adventure,Drama
64665	Midnight Cowboy	1969	113	7.9	87989	Drama
64757	On Her Majesty's Secret Service	1969	142	6.8	69579	Action,Adventure,Thriller
65214	The Wild Bunch	1969	135	8.0	70390	Action,Adventure,Western
65421	The Aristocats	1970	78	7.1	79338	Adventure,Animation,Comedy
66026	MASH	1970	116	7.6	62160	Comedy,Drama,War
66206	Patton	1970	172	8.0	86362	Biography,Drama,War
66921	A Clockwork Orange	1971	136	8.3	667429	Crime,Drama,Sci-Fi
66995	Diamonds Are Forever	1971	120	6.7	84366	Action,Adventure,Thriller
66999	Dirty Harry	1971	102	7.8	129079	Action,Crime,Thriller
67116	The French Connection	1971	104	7.8	96774	Action,Crime,Drama
67185	Harold and Maude	1971	91	8.0	63954	Comedy,Drama,Romance
67800	Straw Dogs	1971	113	7.5	51029	Crime,Drama,Thriller
67992	Willy Wonka & the Chocolate Factory	1971	100	7.8	154735	Family,Fantasy,Musical
68473	Deliverance	1972	109	7.7	88915	Adventure,Drama,Thriller
68646	The Godfather	1972	175	9.2	1388998	Crime,Drama
69293	Solaris	1971	167	8.1	67205	Drama,Mystery,Sci-Fi
69704	American Graffiti	1973	110	7.5	72875	Comedy,Drama
69762	Badlands	1973	94	7.9	56686	Crime,Drama
70034	Enter the Dragon	1973	102	7.7	86665	Action,Crime,Drama
70047	The Exorcist	1973	122	8.0	323125	Horror
70328	Live and Let Die	1973	121	6.8	85478	Action,Adventure,Thriller
70355	Magnum Force	1973	124	7.2	49858	Action,Crime,Mystery
70379	Mean Streets	1973	112	7.3	81912	Crime,Drama,Thriller
70511	Papillon	1973	151	8.0	109901	Biography,Crime,Drama
70608	Robin Hood	1973	83	7.6	99965	Adventure,Animation,Comedy
70666	Serpico	1973	130	7.8	94343	Biography,Crime,Drama
70723	Soylent Green	1973	97	7.1	51366	Crime,Mystery,Sci-Fi
70735	The Sting	1973	129	8.3	212721	Comedy,Crime,Drama
70917	The Wicker Man	1973	88	7.6	57166	Horror,Mystery,Thriller
71230	Blazing Saddles	1974	93	7.8	113000	Comedy,Western
71315	Chinatown	1974	130	8.2	258595	Drama,Mystery,Thriller
71360	The Conversation	1974	113	7.9	85381	Drama,Mystery,Thriller
71562	The Godfather: Part II	1974	202	9.0	962256	Crime,Drama
