78748	Alien	1979	116	8.5	690925	Horror	Sci-Fi	
264464	Catch Me If You Can	2002	141	8.1	687314	Biography	Crime	Drama
1454468	Gravity	2013	91	7.7	685680	Drama	Sci-Fi	Thriller
246578	Donnie Darko	2001	113	8.1	681901	Drama	Sci-Fi	Thriller
180093	Requiem for a Dream	2000	102	8.3	680702	Drama		
416449	300	2006	117	7.7	677794	Action	Fantasy	
1201607	Harry Potter and the Deathly Hallows: Part 2	2011	130	8.1	668646	Adventure	Drama	Fantasy
66921	A Clockwork Orange	1971	136	8.3	667429	Crime	Drama	Sci-Fi
1300854	Iron Man 3	2013	130	7.2	658762	Action	Adventure	Sci-Fi
435761	Toy Story 3	2010	103	8.3	658674	Adventure	Animation	Comedy
1205489	Gran Torino	2008	116	8.1	654061	Drama		
1119646	The Hangover	2009	100	7.7	653997	Comedy		
3659388	The Martian	2015	144	8.0	647700	Adventure	Drama	Sci-Fi
800369	Thor	2011	115	7.0	646846	Action	Adventure	Fantasy
1675434	The Intouchables	2011	112	8.5	646735	Biography	Comedy	Drama
86250	Scarface	1983	170	8.3	643346	Crime	Drama	
118715	The Big Lebowski	1998	117	8.1	641502	Comedy	Crime	
120915	Star Wars: Episode I - The Phantom Menace	1999	136	6.5	634726	Action	Adventure	Fantasy
211915	Amélie	2001	122	8.3	634430	Comedy	Romance	
947798	Black Swan	2010	108	8.0	631029	Drama	Thriller	
770828	Man of Steel	2013	143	7.1	629027	Action	Adventure	Fantasy
458339	Captain America: The First Avenger	2011	124	6.9	625942	Action	Adventure	Sci-Fi
1843866	Captain America: The Winter Soldier	2014	136	7.8	625914	Action	Adventure	Sci-Fi
317248	City of God	2002	130	8.6	625795	Crime	Drama	
1228705	Iron Man 2	2010	124	7.0	623465	Action	Sci-Fi	
145487	Spider-Man	2002	121	7.3	622652	Action	Adventure	Sci-Fi
121766	Star Wars: Episode III - Revenge of the Sith	2005	140	7.6	620647	Action	Adventure	Fantasy
480249	I Am Legend	2007	101	7.2	617443	Drama	Horror	Sci-Fi
253474	The Pianist	2002	150	8.5	616584	Biography	Drama	Music
2395427	Avengers: Age of Ultron	2015	141	7.4	616496	Action	Adventure	Sci-Fi
75314	Taxi Driver	1976	114	8.3	615626	Crime	Drama	
97576	Indiana Jones and the Last Crusade	1989	127	8.3	613720	Action	Adventure	Fantasy
2278388	The Grand Budapest Hotel	2014	99	8.1	611196	Adventure	Comedy	Drama
83658	Blade Runner	1982	117	8.2	608485	Sci-Fi	Thriller	
1045658	Silver Linings Playbook	2012	122	7.7	606860	Comedy	Drama	Romance
1877832	X-Men: Days of Future Past	2014	132	8.0	601425	Action	Adventure	Sci-Fi
60196	The Good, the Bad and the Ugly	1966	161	8.9	601085	Western		
383574	Pirates of the Caribbean: Dead Man's Chest	2006	151	7.3	599150	Action	Adventure	Fantasy
2084970	The Imitation Game	2014	114	8.0	595627	Biography	Drama	Thriller
378194	Kill Bill: Vol. 2	2004	137	8.0	594436	Action	Crime	Thriller
1270798	X-Men: First Class	2011	131	7.7	592723	Action	Adventure	Sci-Fi
1136608	District 9	2009	112	7.9	592683	Sci-Fi	Thriller	
93058	Full Metal Jacket	1987	116	8.3	589255	Drama	War	
1663202	The Revenant	2015	156	8.0	587669	Action	Adventure	Biography
892769	How to Train Your Dragon	2010	98	8.1	586864	Action	Adventure	Animation
2582802	Whiplash	2014	106	8.5	584382	Drama	Music	
90605	Aliens	1986	137	8.4	583787	Action	Adventure	Sci-Fi
1074638	Skyfall	2012	143	7.8	581039	Action	Adventure	Thriller
1504320	The King's Speech	2010	118	8.0	578448	Biography	Drama	History
317705	The Incredibles	2004	115	8.0	576891	Action	Adventure	Animation
117951	Trainspotting	1996	93	8.2	574351	Drama		
440963	The Bourne Ultimatum	2007	115	8.0	572432	Action	Mystery	Thriller
405159	Million Dollar Baby	2004	132	8.1	571758	Drama	Sport	
50083	12 Angry Men	1957	96	8.9	569351	Crime	Drama	
1951264	The Hunger Games: Catching Fire	2013	146	7.5	562809	Action	Adventure	Sci-Fi
418279	Transformers	2007	144	7.1	559714	Action	Adventure	Sci-Fi
