0111161	9.3	2026276
0468569	9.0	1994094
1375666	8.8	1773847
0137523	8.8	1621347
0110912	8.9	1582047
0109830	8.8	1545672
0120737	8.8	1459058
0133093	8.7	1454071
0167260	8.9	1442469
0068646	9.2	1388998
1345836	8.4	1346485
0167261	8.7	1304051
0114369	8.6	1239437
0816692	8.6	1236192
0172495	8.5	1171626
1853728	8.4	1168314
0372784	8.3	1157880
0848228	8.1	1136671
0102926	8.6	1088588
0076759	8.6	1087492
0361748	8.3	1080292
0120815	8.6	1068995
0108052	8.9	1047386
0407887	8.5	1041477
0482571	8.5	1030098
0080684	8.8	1017435
0499549	7.8	1012871
0209144	8.5	1003953
0993846	8.2	992962
0120689	8.5	971925
1130884	8.1	969337
0169547	8.4	965117
0071562	9.0	962256
0325980	8.0	942577
0434409	8.2	929555
0120586	8.5	923640
0120338	7.8	923280
0088763	8.5	898988
2015381	8.1	892183
0110413	8.6	889885
0114814	8.6	879286
0103064	8.5	878745
0266697	8.1	876140
0910970	8.4	875634
0099685	8.7	873697
0112573	8.4	869712
0266543	8.1	839846
0086190	8.3	834690
0167404	8.1	822354
0371746	7.9	821714
1049413	8.3	815291
0120382	8.1	809787
0073486	8.7	805014
0110357	8.5	801379
0338013	8.3	799259
0105236	8.3	796604
0082971	8.5	784746
1431045	8.0	780825
1392170	7.2	780362
0114709	8.3	763197
2488496	8.0	762381
0107290	8.1	757265
0081505	8.4	751536
1392190	8.1	749293
0268978	8.2	746532
0477348	8.1	742356
0119217	8.3	741378
2267998	8.1	731272
1010048	8.0	729465
0198781	8.1	713744
0088247	8.0	707979
0401792	8.0	707593
0903624	7.9	706959
0208092	8.3	700195
0095016	8.2	698369
0078748	8.5	690925
0264464	8.1	687314
1454468	7.7	685680
0246578	8.1	681901
0180093	8.3	680702
0416449	7.7	677794
1201607	8.1	668646
0066921	8.3	667429
1300854	7.2	658762
0435761	8.3	658674
1205489	8.1	654061
1119646	7.7	653997
3659388	8.0	647700
0800369	7.0	646846
1675434	8.5	646735
0086250	8.3	643346
0118715	8.1	641502
0120915	6.5	634726
0211915	8.3	634430
0947798	8.0	631029
0770828	7.1	629027
0458339	6.9	625942
1843866	7.8	625914
0317248	8.6	625795
1228705	7.0	623465
0145487	7.3	622652
0121766	7.6	620647
0480249	7.2	617443
0253474	8.5	616584
2395427	7.4	616496
0075314	8.3	615626
0097576	8.3	613720
2278388	8.1	611196
0083658	8.2	608485
1045658	7.7	606860
1877832	8.0	601425
0060196	8.9	601085
0383574	7.3	599150
2084970	8.0	595627
0378194	8.0	594436
1270798	7.7	592723
1136608	7.9	592683
0093058	8.3	589255
1663202	8.0	587669
0892769	8.1	586864
2582802	8.5	584382
0090605	8.4	583787
1074638	7.8	581039
1504320	8.0	578448
0317705	8.0	576891
0117951	8.2	574351
0440963	8.0	572432
0405159	8.1	571758
0050083	8.9	569351
1951264	7.5	562809
0418279	7.1	559714
2024544	8.1	557990
0382932	8.0	557007
0121765	6.6	556537
0457430	8.2	556315
1285016	7.7	555882
2975590	6.5	554252
1170358	7.8	553306
0796366	8.0	549946
0241527	7.6	548607
0116282	8.1	545525
0449088	7.1	543604
0126029	7.9	542471
0816711	7.0	538613
4154756	8.5	538571
1670345	7.3	538078
0988045	7.6	537449
3498820	7.8	535753
0245429	8.6	534041
0078788	8.5	531211
0114746	8.0	530822
0118799	8.6	530679
0936501	7.8	529853
1631867	7.9	528783
1446714	7.0	528502
0381061	8.0	527910
1637725	6.9	527333
2802144	7.7	526525
0107048	8.0	526303
0421715	7.8	525763
0062622	8.3	523681
3315342	8.1	523398
1024648	7.7	522889
0369610	7.0	521441
0120903	7.4	521306
0454876	7.9	517714
0054215	8.5	517709
0948470	7.0	512171
0758758	8.1	511703
2096673	8.2	510186
1981115	7.0	510082
0113277	8.2	509970
0780504	7.8	507460
1392214	8.1	506141
1386697	6.1	505803
2294629	7.5	499716
2562232	7.7	498806
0073195	8.0	495792
1276104	7.4	488952
1250777	7.6	487479
0316654	7.3	484382
0116629	7.0	484381
2543164	7.9	483441
0120735	8.2	481653
0119488	8.3	481395
1219289	7.4	479809
0295297	7.4	473653
0829482	7.6	472397
0330373	7.7	469636
0304141	7.9	469587
0290334	7.5	467958
0234215	7.2	467957
1232829	7.2	466649
0258463	7.9	465380
1211837	7.5	464058
1318514	7.6	464011
0240772	7.8	463472
0119654	7.3	462445
0034583	8.5	461879
0478970	7.3	461304
0332280	7.9	459813
0162222	7.8	459605
0181689	7.7	458379
0467406	7.5	457772
0075148	8.1	457639
0365748	7.9	456892
0450259	8.0	453103
3748528	7.8	452604
0120363	7.9	452557
0451279	7.5	451750
0343818	7.1	451260
1323594	7.7	450436
0469494	8.1	450210
0071853	8.3	447707
1798709	8.0	447673
0413300	6.2	446699
1156398	7.7	445116
1483013	7.0	442367
0409459	7.6	442345
